protein,normalized_ratio_protein_level_Gly_plus0_Pro,normalized_ratio_protein_level_Gly_plus1_Pro,normalized_ratio_protein_level_Gly_plus2_Pro,total_intensity_every_channel_protein_level,total_intensity_all_channels_protein_level,Log2-normalized_ratio_protein_level_Gly_plus0_Pro,Log2-normalized_ratio_protein_level_Gly_plus1_Pro,Log2-normalized_ratio_protein_level_Gly_plus2_Pro
P15731,1.14,2.32,4.55,"[125462.4, 255608.0, 501787.7]",882858.1,0.19 ,1.21 ,2.19 
Q04749,3.1,1.34,3.55,"[4924.8, 2132.6, 5632.7]",12690.1,1.63 ,0.42 ,1.83 
P32944,0.72,2.56,4.73,"[2807.1, 10003.5, 18504.5]",31315.1,-0.47 ,1.36 ,2.24 
P08536,0.52,1.39,6.09,"[2782.6, 7424.6, 32641.5]",42848.7,-0.94 ,0.48 ,2.61 
"P0CX51, P0CX52",1.03,2.1,4.87,"[581965.3, 1180705.1, 2738308.0]",4500978.4,0.04 ,1.07 ,2.28 
P02829,1.13,2.04,4.83,"[63629.8, 114944.3, 271765.7]",450339.8,0.18 ,1.03 ,2.27 
P48231,4.14,3.03,0.84,"[58120.9, 42551.2, 11734.4]",112406.5,2.05 ,1.60 ,-0.25 
P06787,0.89,2.07,5.04,"[43344.2, 100189.5, 244393.2]",387926.9,-0.17 ,1.05 ,2.33 
P40303,0.96,2.05,4.99,"[61145.2, 130111.9, 317155.2]",508412.3,-0.06 ,1.04 ,2.32 
Q03373,0.42,2.8,4.78,"[4224.5, 28227.5, 48178.3]",80630.3,-1.25 ,1.49 ,2.26 
Q04195,1.05,2.01,4.94,"[12781.1, 24492.3, 60237.4]",97510.8,0.07 ,1.01 ,2.30 
Q01855,1.02,2.45,4.53,"[80966.8, 193628.9, 358924.4]",633520.1,0.03 ,1.29 ,2.18 
