protein,normalized_ratio_protein_level_Gly_plus0_Pro,normalized_ratio_protein_level_Gly_plus1_Pro,normalized_ratio_protein_level_Gly_plus2_Pro,total_intensity_every_channel_protein_level,total_intensity_all_channels_protein_level,Log2-normalized_ratio_protein_level_Gly_plus0_Pro,Log2-normalized_ratio_protein_level_Gly_plus1_Pro,Log2-normalized_ratio_protein_level_Gly_plus2_Pro
P36224,0.46,2.44,5.1,"[10498.2, 55152.7, 115220.7]",180871.6,-1.12 ,1.29 ,2.35 
P00360,1.06,2.04,4.9,"[461070.9, 892523.1, 2138841.7]",3492435.7,0.08 ,1.03 ,2.29 
P39976,0.78,1.73,5.48,"[2510.8, 5570.7, 17605.2]",25686.7,-0.36 ,0.79 ,2.45 
P39524,1.4,3.58,3.02,"[3405.2, 8724.9, 7351.1]",19481.2,0.49 ,1.84 ,1.59 
P28241,1.06,1.86,5.09,"[51623.8, 90772.3, 248810.9]",391207,0.08 ,0.90 ,2.35 
P26783,1.12,2.16,4.72,"[59792.5, 115995.7, 253087.5]",428875.7,0.16 ,1.11 ,2.24 
P40825,1.24,2.07,4.7,"[1634.4, 2730.9, 6202.9]",10568.2,0.31 ,1.05 ,2.23 
P43637,1.8,2.44,3.77,"[11839.1, 16061.3, 24852.4]",52752.8,0.85 ,1.29 ,1.91 
P02400,0.93,2.12,4.96,"[23140.0, 52667.7, 123403.4]",199211.1,-0.10 ,1.08 ,2.31 
P46680,1,2.09,4.91,"[27977.3, 58628.8, 137768.1]",224374.2,0.00 ,1.06 ,2.30 
P38338,1.62,4.49,1.89,"[102444.3, 284640.7, 119506.9]",506591.9,0.70 ,2.17 ,0.92 
P17076,0.98,2.14,4.88,"[99881.8, 218667.1, 499357.9]",817906.8,-0.03 ,1.10 ,2.29 
P36052,0.51,2.46,5.03,"[25476.6, 122510.9, 250618.5]",398606,-0.97 ,1.30 ,2.33 
P12945,1.09,1.75,5.17,"[68097.0, 109527.0, 324066.3]",501690.3,0.12 ,0.81 ,2.37 
P38042,1.75,3.62,2.63,"[32477.3, 67312.7, 48799.5]",148589.5,0.81 ,1.86 ,1.40 
P39722,0.59,1.88,5.53,"[4850.2, 15521.2, 45652.8]",66024.2,-0.76 ,0.91 ,2.47 
P32896,0.83,1.83,5.33,"[7398.3, 16330.1, 47484.6]",71213,-0.27 ,0.87 ,2.41 
P38250,0.89,2.08,5.03,"[22481.3, 52647.0, 126967.3]",202095.6,-0.17 ,1.06 ,2.33 
P12709,1.13,2.2,4.67,"[484285.7, 939650.6, 2000127.5]",3424063.8,0.18 ,1.14 ,2.22 
P00498,1.14,1.76,5.11,"[6812.8, 10525.1, 30637.6]",47975.5,0.19 ,0.82 ,2.35 
P26784,0.97,2.07,4.96,"[75770.1, 162805.5, 389192.9]",627768.5,-0.04 ,1.05 ,2.31 
P37012,1.08,1.97,4.95,"[126273.2, 230266.6, 577779.3]",934319.1,0.11 ,0.98 ,2.31 
P19735,1.53,1.89,4.58,"[5532.4, 6846.3, 16538.1]",28916.8,0.61 ,0.92 ,2.20 
P32527,1.04,2.05,4.91,"[132684.2, 261382.2, 626119.4]",1020185.8,0.06 ,1.04 ,2.30 
P19097,1.1,1.95,4.95,"[181472.4, 319935.5, 812656.9]",1314064.8,0.14 ,0.96 ,2.31 
P04806,0.96,2.16,4.89,"[243863.7, 550312.7, 1247487.9]",2041664.3,-0.06 ,1.11 ,2.29 
Q02892,0.43,2.95,4.63,"[27310.4, 188555.2, 295818.5]",511684.1,-1.22 ,1.56 ,2.21 
P41277,1.14,2.12,4.75,"[66169.0, 123246.1, 276490.6]",465905.7,0.19 ,1.08 ,2.25 
