protein,normalized_ratio_protein_level_Gly_plus0_Pro,normalized_ratio_protein_level_Gly_plus1_Pro,normalized_ratio_protein_level_Gly_plus2_Pro,total_intensity_every_channel_protein_level,total_intensity_all_channels_protein_level
P54885,0.9,1.15,0.96,"[10844.1, 13808.3, 11526.4]",36178.8
Q08236,0.95,1.03,1.02,"[73281.1, 79673.5, 78648.1]",231602.7
P40341,1.04,1.11,0.85,"[13981.2, 15018.7, 11478.5]",40478.4
P00330,0.99,1.0,1.02,"[573400.6, 579392.0, 593372.2]",1746164.8
"P05739, Q02326",0.98,1.02,1.0,"[273512.7, 284459.3, 278896.9]",836868.9
P28273,0.98,0.91,1.11,"[18049.6, 16690.1, 20469.9]",55209.6
Q06096,1.14,0.91,0.96,"[12773.7, 10194.4, 10790.8]",33758.899999999994
"P29547, P36008",1.13,1.23,0.64,"[7269.4, 7926.0, 4153.5]",19348.9
P32481,0.95,1.12,0.93,"[27685.2, 32550.6, 27081.5]",87317.3
P38934,0.95,1.18,0.87,"[51220.8, 63641.6, 47037.6]",161900.0
P39955,1.17,1.3,0.54,"[6934.7, 7708.7, 3207.5]",17850.9
P39002,0.93,0.78,1.29,"[4497.8, 3788.9, 6252.7]",14539.400000000001
P25719,0.91,1.16,0.93,"[37993.4, 48126.1, 38622.2]",124741.7
Q08179,1.18,0.89,0.92,"[14512.9, 10908.9, 11322.7]",36744.5
P22515,1.04,1.11,0.85,"[61848.0, 65901.0, 50684.8]",178433.8
P38707,0.96,0.94,1.1,"[24798.0, 24202.8, 28313.4]",77314.20000000001
P80210,1.33,0.85,0.82,"[135517.1, 86956.8, 84312.7]",306786.60000000003
P07267,0.95,1.07,0.98,"[16458.9, 18610.6, 17037.5]",52107.0
Q03002,0.88,1.21,0.9,"[28787.3, 39571.7, 29429.1]",97788.1
P02829,0.97,1.04,0.99,"[201242.9, 216336.3, 204318.5]",621897.7
P08524,0.62,1.22,1.16,"[15945.6, 31196.8, 29738.5]",76880.9
P22855,0.93,0.74,1.33,"[12874.8, 10168.8, 18422.2]",41465.8
P35176,0.43,1.52,1.04,"[2683.8, 9479.9, 6487.2]",18650.9
